,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
BinaryGlobal.MUT66.c,CLSR,16,19,16,23,high,16,19,16,20,1,,binary
BinaryGlobal.MUT67.c,CLSR,16,19,16,23,high,16,19,16,20,2,,binary
BinaryGlobal.MUT68.c,CRCR,16,19,16,23,high,16,19,16,23,(-1),-1,binary
BinaryGlobal.MUT69.c,CRCR,16,19,16,23,high,16,19,16,22,(0),0,binary
BinaryGlobal.MUT70.c,CRCR,16,19,16,23,high,16,19,16,22,(1),1,binary
BinaryGlobal.MUT71.c,CRCR,16,19,16,23,high,16,19,16,24,(2147483647),max,binary
BinaryGlobal.MUT72.c,CRCR,16,19,16,23,high,16,19,16,24,(-2147483648),min,binary
BinaryGlobal.MUT73.c,VGSR,16,19,16,23,high,16,19,16,24,count,,binary
BinaryGlobal.MUT74.c,VLSR,16,19,16,23,high,16,19,16,22,key,,binary
BinaryGlobal.MUT75.c,VLSR,16,19,16,23,high,16,19,16,22,low,,binary
BinaryGlobal.MUT76.c,VLSR,16,19,16,23,high,16,19,16,22,mid,,binary
BinaryGlobal.MUT77.c,VTWD,16,19,16,23,high,16,19,16,24,(high+1),plus,binary
BinaryGlobal.MUT78.c,VTWD,16,19,16,23,high,16,19,16,24,(high-1),minus,binary
BinaryGlobal.MUT79.c,VGSR,18,9,18,12,mid,18,9,18,14,count,,binary
BinaryGlobal.MUT80.c,VLSR,18,9,18,12,mid,18,9,18,12,key,,binary
BinaryGlobal.MUT81.c,VLSR,18,9,18,12,mid,18,9,18,12,low,,binary
BinaryGlobal.MUT82.c,VLSR,18,9,18,12,mid,18,9,18,13,high,,binary
BinaryGlobal.MUT83.c,OEAA,18,13,18,14,=,18,13,18,15,%=,=%=,binary
BinaryGlobal.MUT84.c,OEAA,18,13,18,14,=,18,13,18,15,*=,=*=,binary
BinaryGlobal.MUT85.c,OEAA,18,13,18,14,=,18,13,18,15,+=,=+=,binary
BinaryGlobal.MUT86.c,OEAA,18,13,18,14,=,18,13,18,15,-=,=-=,binary
BinaryGlobal.MUT87.c,OEAA,18,13,18,14,=,18,13,18,15,/=,=/=,binary
BinaryGlobal.MUT88.c,CGSR,18,16,18,19,low,18,16,18,17,5,,binary
BinaryGlobal.MUT89.c,CLSR,18,16,18,19,low,18,16,18,17,0,,binary
BinaryGlobal.MUT90.c,CLSR,18,16,18,19,low,18,16,18,17,1,,binary
